Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Outstanding Balance,Employee,Location,Device ID,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References
テストユーザー1163307,test-user-110713@example.com,,,,,,,,,,,,,2024-12-29 21:21:30 +0900,1,UNIクラフトカットケーキ箱3号M/10〜100個入 - 100個入り,4620,,UNI010AA,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,テストベンダーF23,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163309,test-user-78501@example.com,paid,,fulfilled,2024-12-29 21:21:35 +0900,JPY,0,0,0,0,,0,,2024-12-29 21:21:30 +0900,1,【サンプル】プラトレー5号サイズ/ゴールド - 1,0,,TRY006AA_sample,true,true,fulfilled,テストユーザー1163310,,,,,,,,,,,,,,,,,,,,,,,,0,テストベンダーF23,0,,,,6307035382074,"新規,テスト顧客",Low,Matrixify App,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163309,test-user-78501@example.com,,,,,,,,,,,,,2024-12-29 21:21:30 +0900,1,【サンプル】プラトレー5号サイズ/ホワイト - 1,0,,TRY003AA_sample,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,テストベンダーF23,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163311,test-user-78501@example.com,paid,,fulfilled,2024-12-29 21:21:35 +0900,JPY,0,0,0,0,,0,,2024-12-29 21:21:30 +0900,1,【サンプル】オリジナルシール/クラフト　55×70mm - 55×70mm,0,,STC001AA_sample,true,true,fulfilled,テストユーザー1163310,,,,,,,,,,,,,,,,,,,,,,,,0,テストベンダーF23,0,,,,6307035349306,"新規,テスト顧客",Low,Matrixify App,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163311,test-user-78501@example.com,,,,,,,,,,,,,2024-12-29 21:21:30 +0900,1,【サンプル】オリジナルシール/ホワイト　55×70mm - 55×70mm,0,,STW001AA_sample,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,テストベンダーF23,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163312,test-user-83202@example.com,paid,2024-12-29 21:21:30 +0900,fulfilled,2024-12-29 21:21:35 +0900,JPY,9130,2160,0,11290,,0,通常配送,2024-12-29 21:21:30 +0900,1,UNIクラフトデコ箱6号H80/10〜50個入 - 50個入り,4180,,UNI003TP,true,true,fulfilled,テストユーザー715162,,,,,,,,,,,,,,,,,,,,,,manual (クレジットカード決済),payment-ref-1163313,0,テストベンダーF23,166,,,,6307035316538,,Low,Matrixify App,0,,,,,,,,,,,,,,,,#4739.1,,,payment-ref-1163313
テストユーザー1163312,test-user-83202@example.com,,,,,,,,,,,,,2024-12-29 21:21:30 +0900,1,クラフトデコ箱6号H150/10〜50個入(ホールケーキ、シフォンケーキ) - 50個入り,4950,,CLF005TP,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,テストベンダーF23,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163314,test-user-119012@example.com,paid,2024-12-29 21:21:30 +0900,fulfilled,2024-12-29 21:21:33 +0900,JPY,2750,724,0,3474,,0,通常配送,2024-12-29 21:21:30 +0900,1,クラフトデコ箱5号H113/10〜50個入(ホールケーキ) - 50個入り,2750,,CLF003AA,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,manual (代金引換),payment-ref-1163315,0,テストベンダーF23,50,,,,6307035283770,,Low,Matrixify App,0,,,,,,,,,,,,,,,,#4743.1,,,payment-ref-1163315
テストユーザー1163316,test-user-92178@example.com,paid,2024-12-29 21:21:30 +0900,fulfilled,2024-12-29 21:21:34 +0900,JPY,1553,1065,0,2618,Line item discounts,317,通常配送,2024-12-29 21:21:30 +0900,1,クラフトデコ箱6号/H150(ホール・シフォン)/10個or50個入り - 10個入り,1870,,wc6-0001pt,true,true,fulfilled,テストユーザー1163317,,,,,,,,,,,,,,,,,,,,,,manual (代金引換),payment-ref-1163318,0,テストベンダーF23,85,,,,6307035218234,"新規,テスト顧客",Low,Matrixify App,0,,,,,,,,,,,,,,,,#474.1,,,payment-ref-1163318
テストユーザー1163320,test-user-9888@example.com,paid,2024-12-29 21:21:29 +0900,fulfilled,2024-12-29 21:21:34 +0900,JPY,7480,0,0,7480,,0,,2024-12-29 21:21:29 +0900,2,クラフトデコ箱4号H130/10〜50個入(ホールケーキ) - 50個入り,3740,,CLF002TK,true,true,fulfilled,テストユーザー262643,,,,,,,,,,,,,,,,,,,,,,manual (クレジットカード決済),payment-ref-1163321,0,テストベンダーF23,136,,,,6307035185466,"新規,テスト顧客",Low,Matrixify App,0,,,,,,,,,,,,,,,,#4726.1,,,payment-ref-1163321
テストユーザー1163322,test-user-85409@example.com,paid,2024-12-29 21:21:29 +0900,fulfilled,2024-12-29 21:21:34 +0900,JPY,10180,0,0,10180,Line item discounts,380,,2024-12-29 21:21:29 +0900,30,おてふき クラフト(ノーマルorハーフ)/100枚入 - ハーフ,352,,NAP002AA,true,true,fulfilled,テストユーザー254046,,,,,,,,,,,,,,,,,,,,,,manual (クレジットカード決済),payment-ref-1163323,0,テストベンダーF23,180,,,,6307035152698,"新規,テスト顧客",Low,Matrixify App,0,,,,,,,,,,,,,,,,#4736.1,,,payment-ref-1163323
テストユーザー1163324,test-user-4480@example.com,paid,2024-12-29 21:21:29 +0900,fulfilled,2024-12-29 21:21:32 +0900,JPY,3630,1300,0,4930,,0,通常配送,2024-12-29 21:21:29 +0900,1,紙トレー5号サイズ/ゴールド - 100個入り,3630,,TRY002AA,true,true,fulfilled,テストユーザー248662,,,,,,,,,,,,,,,,,,,,,,manual (クレジットカード決済),payment-ref-1163325,0,テストベンダーF23,66,,,,6307035119930,"新規,テスト顧客",Low,Matrixify App,0,,,,,,,,,,,,,,,,#4738.1,,,payment-ref-1163325
テストユーザー1163326,test-user-9485@example.com,paid,2024-12-29 21:21:29 +0900,fulfilled,2024-12-29 21:21:34 +0900,JPY,6490,324,0,6814,,0,通常配送,2024-12-29 21:21:29 +0900,1,UNIクラフトカットケーキ箱2号S/10〜100個入 - 100個入り,4180,,UNI009AA,true,true,fulfilled,テストユーザー280693,,,,,,,,,,,,,,,,,,,,,,manual (代金引換),payment-ref-1163327,0,テストベンダーF23,118,,,,6307035087162,"新規,テスト顧客",Low,Matrixify App,0,,,,,,,,,,,,,,,,#4735.1,,,payment-ref-1163327
テストユーザー1163326,test-user-9485@example.com,,,,,,,,,,,,,2024-12-29 21:21:29 +0900,1,UNIクラフトカットケーキ箱1号SS/10〜100個入 - 50個入り,2310,,UNI008AA,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,テストベンダーF23,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163328,test-user-111200@example.com,paid,,fulfilled,2024-12-29 21:21:36 +0900,JPY,0,0,0,0,,0,,2024-12-29 21:21:29 +0900,1,【サンプル】UNIクラフトデコ箱4号H80 - トレーなし,0,,UNI014AA_sample,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,0,テストベンダーF23,0,,,,6307035054394,"新規,テスト顧客",Low,Matrixify App,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163328,test-user-111200@example.com,,,,,,,,,,,,,2024-12-29 21:21:29 +0900,1,【サンプル】クラフトデコ箱4号H130 - トレーなし,0,,CLF002AA_sample,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,テストベンダーF23,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163329,test-user-2056@example.com,paid,2024-12-29 21:21:29 +0900,fulfilled,2024-12-29 21:21:34 +0900,JPY,12650,0,0,12650,,0,,2024-12-29 21:21:29 +0900,1,UNIクラフトカットケーキ箱SS/1号/10〜100個入 - 100個入り,3850,,cc1-ss-001,true,true,fulfilled,テストユーザー249861,,,,,,,,,,,,,,,,,,,,,,manual (クレジットカード決済),payment-ref-1163330,0,テストベンダーF23,575,,,,6307035021626,"新規,テスト顧客",Low,Matrixify App,0,,,,,,,,,,,,,,,,#473.1,,,payment-ref-1163330
テストユーザー1163329,test-user-2056@example.com,,,,,,,,,,,,,2024-12-29 21:21:29 +0900,1,UNIクラフトカットケーキ箱M/3号/10〜100個入 - 100個入り,4620,,cc3-m-001,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,テストベンダーF23,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163329,test-user-2056@example.com,,,,,,,,,,,,,2024-12-29 21:21:29 +0900,1,UNIロールケーキ箱ロール・デコ/10〜100個入 - 100個入り,4180,,rc-0001,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,テストベンダーF23,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163331,test-user-91502@example.com,paid,,fulfilled,2024-12-29 21:21:33 +0900,JPY,0,0,0,0,,0,,2024-12-29 21:21:28 +0900,1,【サンプル:1点まで】UNIクッキーBOX(キューブ) - レッド,0,,UNI015RR_sample,true,true,fulfilled,テストユーザー1163332,,,,,,,,,,,,,,,,,,,,,,,,0,テストベンダーF23,0,,,,6307034988858,"新規,テスト顧客",Low,Matrixify App,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163331,test-user-91502@example.com,,,,,,,,,,,,,2024-12-29 21:21:28 +0900,1,【サンプル:1点まで】UNIクッキーBOX(キューブ) - グリーン,0,,UNI015GG_sample,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,テストベンダーF23,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163334,test-user-70544@example.com,paid,2024-12-29 21:21:28 +0900,fulfilled,2024-12-29 21:21:33 +0900,JPY,5720,0,0,5720,,0,,2024-12-29 21:21:28 +0900,1,Criollo-Bitter-デコ箱4号H130/10〜50個入 - 10個入り,1870,,CRO003TK,true,true,fulfilled,テストユーザー699174,,,,,,,,,,,,,,,,,,,,,,manual (クレジットカード決済),payment-ref-1163335,0,テストベンダーF23,104,,,,6307034923322,"新規,テスト顧客",Low,Matrixify App,0,,,,,,,,,,,,,,,,#4715.1,,,payment-ref-1163335
テストユーザー1163334,test-user-70544@example.com,,,,,,,,,,,,,2024-12-29 21:21:28 +0900,1,UNIクラフトデコ箱5号H80/10〜50個入 - 50個入り,2420,,UNI001AA,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,テストベンダーF23,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163334,test-user-70544@example.com,,,,,,,,,,,,,2024-12-29 21:21:28 +0900,1,UNIクラフトクッキーBOX(1号SSサイズ用)10〜100個入 - 50個入り,1430,,UNI013AA,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,テストベンダーF23,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163336,test-user-110745@example.com,paid,2024-12-29 21:21:28 +0900,fulfilled,2024-12-29 21:21:33 +0900,JPY,7178,0,0,7178,Line item discounts,82,,2024-12-29 21:21:28 +0900,2,UNIクラフトデコ箱5号H80/10〜50個入 - 50個入り,3630,,UNI001TP,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,manual (クレジットカード決済),payment-ref-1163337,0,テストベンダーF23,132,,,,6307034890554,,Low,Matrixify App,0,,,,,,,,,,,,,,,,#4731.1,,,payment-ref-1163337
テストユーザー1163338,test-user-110842@example.com,paid,2024-12-29 21:21:28 +0900,fulfilled,2024-12-29 21:21:31 +0900,JPY,6050,0,0,6050,,0,,2024-12-29 21:21:28 +0900,1,UNIクラフトデコ箱7号H150/10〜50個入 - 50個入り,6050,,UNI006TP,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,manual (クレジットカード決済),payment-ref-1163339,0,テストベンダーF23,110,,,,6307034857786,,Low,Matrixify App,0,,,,,,,,,,,,,,,,#4733.1,,,payment-ref-1163339
テストユーザー1163340,test-user-88233@example.com,paid,2024-12-29 21:21:28 +0900,fulfilled,2024-12-29 21:21:31 +0900,JPY,11440,432,0,11872,,0,通常配送,2024-12-29 21:21:28 +0900,2,UNIクラフトロールケーキ箱/10〜100個入 - 100個入り,5720,,UNI012TK,true,true,fulfilled,テストユーザー950961,,,,,,,,,,,,,,,,,,,,,,manual (代金引換),payment-ref-1163341,0,テストベンダーF23,208,,,,6307034825018,"新規,テスト顧客",Low,Matrixify App,0,,,,,,,,,,,,,,,,#4729.1,,,payment-ref-1163341
テストユーザー1163342,test-user-20804@example.com,paid,2024-12-29 21:21:28 +0900,fulfilled,2024-12-29 21:21:33 +0900,JPY,8352,324,0,8676,Line item discounts,228,通常配送,2024-12-29 21:21:28 +0900,2,クラフトデコ箱5号H150/10〜50個入(ホールケーキ、シフォンケーキ) - 50個入り,4290,,CLF004TP,true,true,fulfilled,テストユーザー272637,,,,,,,,,,,,,,,,,,,,,,manual (代金引換),payment-ref-1163343,0,テストベンダーF23,156,,,,6307034792250,"新規,テスト顧客",Low,Matrixify App,0,,,,,,,,,,,,,,,,#4728.1,,,payment-ref-1163343
テストユーザー1163344,test-user-1603@example.com,paid,2024-12-29 21:21:28 +0900,fulfilled,2024-12-29 21:21:33 +0900,JPY,8800,324,0,9124,,0,通常配送,2024-12-29 21:21:28 +0900,1,UNIクラフトカットケーキ箱2号S/10〜100個入 - 100個入り,4180,,UNI009AA,true,true,fulfilled,テストユーザー260943,,,,,,,,,,,,,,,,,,,,,,manual (代金引換),payment-ref-1163345,0,テストベンダーF23,160,,,,6307034759482,"新規,テスト顧客",Low,Matrixify App,0,,,,,,,,,,,,,,,,#4724.1,,,payment-ref-1163345
テストユーザー1163344,test-user-1603@example.com,,,,,,,,,,,,,2024-12-29 21:21:28 +0900,1,UNIクラフトカットケーキ箱3号M/10〜100個入 - 100個入り,4620,,UNI010AA,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,テストベンダーF23,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163346,test-user-110623@example.com,paid,2024-12-29 21:21:28 +0900,fulfilled,2024-12-29 21:21:32 +0900,JPY,5657,0,0,5657,Line item discounts,63,,2024-12-29 21:21:27 +0900,1,UNIクラフトロールケーキ箱/10〜100個入 - 100個入り,5720,,UNI012TK,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,manual (クレジットカード決済),payment-ref-1163347,0,テストベンダーF23,104,,,,6307034726714,,Low,Matrixify App,0,,,,,,,,,,,,,,,,#4716.1,,,payment-ref-1163347
テストユーザー1163348,test-user-119011@example.com,paid,2024-12-29 21:21:27 +0900,fulfilled,2024-12-29 21:21:32 +0900,JPY,7260,0,0,7260,,0,,2024-12-29 21:21:27 +0900,3,UNIクラフトデコ箱5号H80/10〜50個入 - 50個入り,2420,,UNI001AA,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,manual (銀行振込),payment-ref-1163349,0,テストベンダーF23,132,,,,6307034693946,,Low,Matrixify App,0,,,,,,,,,,,,,,,,#4725.1,,,payment-ref-1163349
テストユーザー1163350,test-user-110772@example.com,paid,2024-12-29 21:21:27 +0900,fulfilled,2024-12-29 21:21:33 +0900,JPY,9240,0,0,9240,,0,,2024-12-29 21:21:27 +0900,1,UNIクラフトデコ箱6号H80/10〜50個入 - 50個入り,4180,,UNI003TP,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,manual (クレジットカード決済),payment-ref-1163351,0,テストベンダーF23,168,,,,6307034661178,,Low,Matrixify App,0,,,,,,,,,,,,,,,,#4722.1,,,payment-ref-1163351
テストユーザー1163350,test-user-110772@example.com,,,,,,,,,,,,,2024-12-29 21:21:27 +0900,1,UNIクラフトカットケーキ箱4号L/10〜100個入 - 100個入り,5060,,UNI011AA,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,テストベンダーF23,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163352,test-user-85393@example.com,paid,2024-12-29 21:21:27 +0900,fulfilled,2024-12-29 21:21:32 +0900,JPY,4180,724,0,4904,,0,通常配送,2024-12-29 21:21:27 +0900,2,UNIクラフトデコ箱7号H150/10〜50個入 - 10個入り,2090,,UNI006TP,true,true,fulfilled,テストユーザー919274,,,,,,,,,,,,,,,,,,,,,,manual (代金引換),payment-ref-1163353,0,テストベンダーF23,76,,,,6307034628410,"新規,テスト顧客",Low,Matrixify App,0,,,,,,,,,,,,,,,,#4727.1,,,payment-ref-1163353
テストユーザー1163354,test-user-110768@example.com,paid,2024-12-29 21:21:27 +0900,fulfilled,2024-12-29 21:21:34 +0900,JPY,14960,0,0,14960,,0,,2024-12-29 21:21:27 +0900,4,クラフトデコ箱5号H113/10〜50個入(ホールケーキ) - 50個入り,3740,,CLF003TP,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,manual (クレジットカード決済),payment-ref-1163355,0,テストベンダーF23,272,,,,6307034530106,,Low,Matrixify App,0,,,,,,,,,,,,,,,,#4723.1,,,payment-ref-1163355
テストユーザー1163356,test-user-110623@example.com,paid,2024-12-29 21:21:27 +0900,fulfilled,2024-12-29 21:21:30 +0900,JPY,15235,0,0,15235,,0,,2024-12-29 21:21:27 +0900,1,Criollo-Bitter-デコ箱5号H113/10〜50個入 - 50個入り,4235,,CRO001TP_s,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,manual (クレジットカード決済),payment-ref-1163357,0,テストベンダーF23,277,,,,6307034497338,,Low,Matrixify App,0,,,,,,,,,,,,,,,,#4719.1,,,payment-ref-1163357
テストユーザー1163356,test-user-110623@example.com,,,,,,,,,,,,,2024-12-29 21:21:27 +0900,1,クラフトデコ箱6号H150/10〜50個入(ホールケーキ、シフォンケーキ) - 50個入り,4950,,CLF005TP,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,テストベンダーF23,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163356,test-user-110623@example.com,,,,,,,,,,,,,2024-12-29 21:21:27 +0900,1,hacobo! 宅配・輸送用ダンボール/10〜40個入(デコ箱5号用) - 40個入り,2200,,HCB011AA,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,テストベンダーF23,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163356,test-user-110623@example.com,,,,,,,,,,,,,2024-12-29 21:21:27 +0900,1,UNIクラフトカットケーキ箱1号SS/10〜100個入 - 100個入り,3850,,UNI008AA,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,テストベンダーF23,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163358,test-user-86362@example.com,paid,2024-12-29 21:21:27 +0900,fulfilled,2024-12-29 21:21:32 +0900,JPY,8690,0,0,8690,,0,,2024-12-29 21:21:27 +0900,1,クラフトデコ箱5号H113/10〜50個入(ホールケーキ) - 50個入り,3740,,CLF003TP,true,true,fulfilled,テストユーザー427781,,,,,,,,,,,,,,,,,,,,,,manual (クレジットカード決済),payment-ref-1163359,0,テストベンダーF23,158,,,,6307034464570,"新規,テスト顧客",Low,Matrixify App,0,,,,,,,,,,,,,,,,#4721.1,,,payment-ref-1163359
テストユーザー1163358,test-user-86362@example.com,,,,,,,,,,,,,2024-12-29 21:21:27 +0900,1,クラフトデコ箱6号H150/10〜50個入(ホールケーキ、シフォンケーキ) - 50個入り,4950,,CLF005TP,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,テストベンダーF23,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163360,test-user-85449@example.com,paid,2024-12-29 21:21:26 +0900,fulfilled,2024-12-29 21:21:33 +0900,JPY,6325,324,0,6649,,0,通常配送,2024-12-29 21:21:26 +0900,1,Criollo-Bitter-デコ箱4号H130/10〜50個入 - 50個入り,3135,,CRO003AA_s,true,true,fulfilled,テストユーザー941726,,,,,,,,,,,,,,,,,,,,,,manual (代金引換),payment-ref-1163361,0,テストベンダーF23,115,,,,6307034399034,"新規,テスト顧客",Low,Matrixify App,0,,,,,,,,,,,,,,,,#4718.1,,,payment-ref-1163361
テストユーザー1163360,test-user-85449@example.com,,,,,,,,,,,,,2024-12-29 21:21:26 +0900,1,Criollo-Bitter-デコ箱5号H113/10〜50個入 - 50個入り,3190,,CRO001AA_s,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,テストベンダーF23,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163362,test-user-111196@example.com,paid,2024-12-29 21:21:26 +0900,fulfilled,2024-12-29 21:21:31 +0900,JPY,3740,620,0,4360,,0,通常配送,2024-12-29 21:21:26 +0900,1,クラフトデコ箱5号/H113(ホールケーキ)/10個or50個入り - 50個入り,3740,,wc5-0001pt,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,manual (クレジットカード決済),payment-ref-1163363,0,テストベンダーF23,170,,,,6307034366266,,Low,Matrixify App,0,,,,,,,,,,,,,,,,#472.1,,,payment-ref-1163363
テストユーザー1163364,test-user-79512@example.com,paid,2024-12-29 21:21:26 +0900,fulfilled,2024-12-29 21:21:31 +0900,JPY,3630,580,0,4210,,0,通常配送,2024-12-29 21:21:26 +0900,1,クラフトデコ箱6号H150/10〜50個入(ホールケーキ、シフォンケーキ) - 50個入り,3630,,CLF005AA,true,true,fulfilled,テストユーザー1163365,,,,,,,,,,,,,,,,,,,,,,manual (クレジットカード決済),payment-ref-1163366,0,テストベンダーF23,66,,,,6307034333498,,Low,Matrixify App,0,,,,,,,,,,,,,,,,#4717.1,,,payment-ref-1163366
